Object Type;Object Name;Data Source;Time Period;Category;Data Item;Statistic Type;Value
Server;06_Crossing_JoseCarvalho;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Server;06_Crossing_JoseCarvalho;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Server;06_Crossing_JoseCarvalho;[Resource];Run;ResourceState;TimeStarved;Average;12
Server;06_Crossing_JoseCarvalho;[Resource];Run;ResourceState;TimeStarved;Occurrences;1
Server;06_Crossing_JoseCarvalho;[Resource];Run;ResourceState;TimeStarved;Percent;100
Server;06_Crossing_JoseCarvalho;[Resource];Run;ResourceState;TimeStarved;Total;12
Sink;SectionDispose;InputBuffer;Run;Throughput;NumberEntered;Total;589
Sink;SectionDispose;InputBuffer;Run;Throughput;NumberExited;Total;589
Sink;SectionDispose;[DestroyedEntities];Run;FlowTime;TimeInSystem;Average;0,0203653555932845
Sink;SectionDispose;[DestroyedEntities];Run;FlowTime;TimeInSystem;Maximum;0,026277777777779
Sink;SectionDispose;[DestroyedEntities];Run;FlowTime;TimeInSystem;Minimum;0,0174166666666657
Sink;SectionDispose;[DestroyedEntities];Run;FlowTime;TimeInSystem;Observations;589
Source;SectionArrive;OutputBuffer;Run;Throughput;NumberEntered;Total;590
Source;SectionArrive;OutputBuffer;Run;Throughput;NumberExited;Total;590
Source;SectionArrive;Processing;Run;Throughput;NumberEntered;Total;590
Source;SectionArrive;Processing;Run;Throughput;NumberExited;Total;590
TimePath;Anhanguera_To_RuiBarbosa;[Travelers];Run;Content;NumberOnLink;Average;0,134997685185183
TimePath;Anhanguera_To_RuiBarbosa;[Travelers];Run;Content;NumberOnLink;Maximum;1
TimePath;Anhanguera_To_RuiBarbosa;[Travelers];Run;Content;NumberOnLink;Minimum;0
TimePath;Anhanguera_To_RuiBarbosa;[Travelers];Run;FlowTime;TimeOnLink;Average;0,00275000000000014
TimePath;Anhanguera_To_RuiBarbosa;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0,0027500000000007
TimePath;Anhanguera_To_RuiBarbosa;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0,00274999999999981
TimePath;Anhanguera_To_RuiBarbosa;[Travelers];Run;Throughput;NumberEntered;Total;590
TimePath;Anhanguera_To_RuiBarbosa;[Travelers];Run;Throughput;NumberExited;Total;589
TimePath;AvBrasil_To_JoseCarvalho;[Travelers];Run;Content;NumberOnLink;Average;0,159520833333332
TimePath;AvBrasil_To_JoseCarvalho;[Travelers];Run;Content;NumberOnLink;Maximum;1
TimePath;AvBrasil_To_JoseCarvalho;[Travelers];Run;Content;NumberOnLink;Minimum;0
TimePath;AvBrasil_To_JoseCarvalho;[Travelers];Run;FlowTime;TimeOnLink;Average;0,00324999999999998
TimePath;AvBrasil_To_JoseCarvalho;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0,00325000000000042
TimePath;AvBrasil_To_JoseCarvalho;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0,00324999999999953
TimePath;AvBrasil_To_JoseCarvalho;[Travelers];Run;Throughput;NumberEntered;Total;589
TimePath;AvBrasil_To_JoseCarvalho;[Travelers];Run;Throughput;NumberExited;Total;589
TimePath;EnteringSection;[Travelers];Run;Content;NumberOnLink;Average;0,0409722222222127
TimePath;EnteringSection;[Travelers];Run;Content;NumberOnLink;Maximum;1
TimePath;EnteringSection;[Travelers];Run;Content;NumberOnLink;Minimum;0
TimePath;EnteringSection;[Travelers];Run;FlowTime;TimeOnLink;Average;0,00083333333333314
TimePath;EnteringSection;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0,000833333333333464
TimePath;EnteringSection;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0,000833333333332575
TimePath;EnteringSection;[Travelers];Run;Throughput;NumberEntered;Total;590
TimePath;EnteringSection;[Travelers];Run;Throughput;NumberExited;Total;590
TimePath;ExitingSection;[Travelers];Run;Content;NumberOnLink;Average;0,0409027777777683
TimePath;ExitingSection;[Travelers];Run;Content;NumberOnLink;Maximum;1
TimePath;ExitingSection;[Travelers];Run;Content;NumberOnLink;Minimum;0
TimePath;ExitingSection;[Travelers];Run;FlowTime;TimeOnLink;Average;0,00083333333333314
TimePath;ExitingSection;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0,000833333333333464
TimePath;ExitingSection;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0,000833333333332575
